      Iter       Train Loss      OOB Improve   Remaining Time 
         6           0.8250           0.0570            0.37s
         7           0.7789           0.0542            0.36s
         8           0.7336           0.0344            0.35s
         9           0.6993           0.0420            0.34s
        10           0.6758           0.0503            0.33s
        20           0.4781           0.0034            0.18s
        30           0.3861          -0.0137            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2307           0.1392            0.50s
         2           1.1218           0.1221            0.60s
         3           1.0263           0.0890            0.53s
         4           0.9470           0.0789            0.45s
         5           0.8784           0.0644            0.43s
         6           0.8271           0.0696            0.41s
         7           0.7745           0.0409            0.40s
         8           0.7350           0.0484            0.38s
         9           0.6945           0.0279            0.37s
        10           0.6610           0.0243            0.35s
        20           0.4686           0.0098            0.18s
        30           0.3883          -0.0018            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2328           0.1364            0.37s
         2           1.1229           0.1187            0.45s
         3           1.0276           0.0883            0.44s
         4           0.9542           0.0878            0.43s
         5           0.8813           0.0530            0.41s
         6           0.8213           0.0509            0.36s
         7           0.7799           0.0649            0.38s
         8           0.7297           0.0263            0.37s
         9           0.6962           0.0436            0.33s
        10           0.6642           0.0335            0.32s
        20           0.4902           0.0326            0.17s
        30           0.4017           0.0188            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2350           0.1391            0.50s
         2           1.1227           0.1137            0.48s
         3           1.0282           0.0893            0.62s
         4           0.9486           0.0773            0.56s
         5           0.8833           0.0696            0.51s
         6           0.8298           0.0673            0.49s
         7           0.7724           0.0244            0.46s
         8           0.7359           0.0594            0.43s
         9           0.6970           0.0339            0.41s
        10           0.6690           0.0430            0.38s
        20           0.4735          -0.0040            0.20s
        30           0.4001           0.0238            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2320           0.1389            1.04s
         2           1.1218           0.1222            0.78s
         3           1.0258           0.0881            0.76s
         4           0.9470           0.0805            0.67s
         5           0.8787           0.0644            0.61s
         6           0.8176           0.0469            0.53s
         7           0.7718           0.0600            0.49s
         8           0.7358           0.0612            0.46s
         9           0.6914           0.0142            0.43s
        10           0.6578           0.0276            0.41s
        20           0.4774           0.0326            0.21s
        30           0.3870           0.0023            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2352           0.1395            0.99s
         2           1.1195           0.1037            0.71s
         3           1.0287           0.1008            0.61s
         4           0.9487           0.0741            0.57s
         5           0.8856           0.0753            0.52s
         6           0.8296           0.0582            0.53s
         7           0.7788           0.0410            0.49s
         8           0.7331           0.0313            0.43s
         9           0.6982           0.0406            0.41s
        10           0.6645           0.0294            0.39s
        20           0.4849           0.0065            0.20s
        30           0.3972          -0.0126            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2344           0.1369            0.61s
         2           1.1213           0.1096            0.56s
         3           1.0300           0.1034            0.56s
         4           0.9486           0.0613            0.52s
         5           0.8818           0.0647            0.50s
         6           0.8259           0.0637            0.45s
         7           0.7753           0.0426            0.46s
         8           0.7360           0.0603            0.46s
         9           0.7015           0.0468            0.45s
        10           0.6726           0.0492            0.43s
        20           0.4825           0.0329            0.22s
        30           0.3911          -0.0120            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2337           0.1409            0.55s
         2           1.1186           0.1061            0.61s
         3           1.0261           0.1001            0.48s
         4           0.9496           0.0903            0.45s
         5           0.8794           0.0528            0.52s
         6           0.8250           0.0712            0.48s
         7           0.7707           0.0193            0.46s
         8           0.7323           0.0639            0.43s
         9           0.6952           0.0331            0.41s
        10           0.6613           0.0319            0.37s
        20           0.4721          -0.0188            0.20s
        30           0.3857           0.0164            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2347           0.1385            0.74s
         2           1.1210           0.1058            0.84s
         3           1.0296           0.1024            0.70s
         4           0.9504           0.0734            0.62s
         5           0.8839           0.0655            0.56s
         6           0.8255           0.0481            0.52s
         7           0.7749           0.0382            0.49s
         8           0.7375           0.0665            0.46s
         9           0.6987           0.0286            0.43s
        10           0.6672           0.0322            0.41s
        20           0.4847           0.0347            0.21s
        30           0.4018           0.0326            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2343           0.1417            0.49s
         2           1.1223           0.1175            0.50s
         3           1.0300           0.1021            0.46s
         4           0.9521           0.0800            0.45s
         5           0.8845           0.0559            0.43s
         6           0.8247           0.0325            0.42s
         7           0.7770           0.0603            0.40s
         8           0.7377           0.0769            0.38s
         9           0.6977           0.0054            0.41s
        10           0.6679           0.0504            0.39s
        20           0.4797           0.0309            0.21s
        30           0.3986           0.0306            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2335           0.1380            0.49s
         2           1.1200           0.1112            0.47s
         3           1.0259           0.0916            0.46s
         4           0.9484           0.0894            0.57s
         5           0.8808           0.0647            0.56s
         6           0.8229           0.0508            0.56s
         7           0.7712           0.0264            0.55s
         8           0.7301           0.0525            0.54s
         9           0.6956           0.0550            0.51s
        10           0.6613           0.0122            0.49s
        20           0.4720          -0.0101            0.25s
        30           0.3847          -0.0066            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2341           0.1414            0.50s
