      Iter       Train Loss      OOB Improve   Remaining Time 
         2           1.1239           0.1144            0.91s
         3           1.0250           0.0872            0.94s
         4           0.9502           0.0840            0.92s
         5           0.8839           0.0664            0.83s
         6           0.8223           0.0516            0.83s
         7           0.7784           0.0561            0.84s
         8           0.7303           0.0338            0.81s
         9           0.6981           0.0421            0.76s
        10           0.6675           0.0385            0.76s
        20           0.4735           0.0061            0.69s
        30           0.3986           0.0174            0.52s
        40           0.3500           0.0090            0.36s
        50           0.3273           0.0242            0.21s
        60           0.3009           0.0081            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2352           0.1381            0.60s
         2           1.1217           0.1112            0.80s
         3           1.0273           0.0915            0.70s
         4           0.9446           0.0733            0.95s
         5           0.8849           0.0773            0.93s
         6           0.8264           0.0545            0.95s
         7           0.7797           0.0524            0.93s
         8           0.7358           0.0385            0.90s
         9           0.6983           0.0352            0.89s
        10           0.6648           0.0293            0.88s
        20           0.4692           0.0056            0.68s
        30           0.3953           0.0138            0.52s
        40           0.3572           0.0146            0.37s
        50           0.3248           0.0154            0.22s
        60           0.2933          -0.0104            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2335           0.1387            0.96s
         2           1.1155           0.1103            0.74s
         3           1.0226           0.0970            0.83s
         4           0.9484           0.0858            0.85s
         5           0.8788           0.0628            0.81s
         6           0.8214           0.0593            0.82s
         7           0.7666           0.0411            0.76s
         8           0.7320           0.0523            0.73s
         9           0.6858           0.0241            0.77s
        10           0.6561           0.0375            0.73s
        20           0.4681           0.0256            0.66s
        30           0.3873          -0.0078            0.52s
        40           0.3338           0.0004            0.36s
        50           0.3101          -0.0134            0.21s
        60           0.2967           0.0119            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2356           0.1406            1.06s
         2           1.1210           0.1094            1.41s
         3           1.0285           0.0954            1.18s
         4           0.9511           0.0815            1.12s
         5           0.8836           0.0652            1.11s
         6           0.8282           0.0597            1.04s
         7           0.7843           0.0597            1.01s
         8           0.7331           0.0219            0.98s
         9           0.6989           0.0428            0.94s
        10           0.6642           0.0282            0.93s
        20           0.4838           0.0158            0.70s
        30           0.3903          -0.0081            0.60s
        40           0.3540           0.0209            0.43s
        50           0.3189           0.0013            0.26s
        60           0.2978          -0.0024            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2329           0.1360            0.58s
         2           1.1202           0.1134            0.91s
         3           1.0318           0.1032            0.91s
         4           0.9478           0.0676            0.88s
         5           0.8825           0.0687            0.88s
         6           0.8261           0.0574            0.87s
         7           0.7774           0.0489            0.80s
         8           0.7352           0.0412            0.83s
         9           0.6960           0.0341            0.81s
        10           0.6597           0.0190            0.84s
        20           0.4794           0.0171            0.75s
        30           0.3969           0.0181            0.59s
        40           0.3529           0.0326            0.40s
        50           0.3204           0.0151            0.23s
        60           0.2898           0.0007            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1403            1.43s
         2           1.1170           0.1084            1.34s
         3           1.0204           0.0897            1.23s
         4           0.9449           0.0908            1.16s
         5           0.8794           0.0704            1.20s
         6           0.8224           0.0590            1.14s
         7           0.7745           0.0500            1.10s
         8           0.7295           0.0373            1.06s
         9           0.6923           0.0396            1.07s
        10           0.6608           0.0336            1.08s
        20           0.4691           0.0259            0.86s
        30           0.3874           0.0200            0.65s
        40           0.3486           0.0155            0.44s
        50           0.3183           0.0176            0.26s
        60           0.3035           0.0257            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2333           0.1377            1.31s
         2           1.1196           0.1114            1.09s
         3           1.0245           0.0908            1.06s
         4           0.9455           0.0785            0.99s
         5           0.8788           0.0666            0.87s
         6           0.8275           0.0728            0.87s
         7           0.7733           0.0333            0.86s
